date,eng_name
9/22/2015,Yom Kippur Eve
9/23/2015,Yom Kippur
9/27/2015,Sukkot Eve
9/28/2015,Sukkot (Day 1)
9/29/2015,Sukkot (Day 2)
9/30/2015,Sukkot (Day 3)
10/1/2015,Sukkot (Day 4)
10/2/2015,Sukkot (Day 5)
10/3/2015,Sukkot (Day 6)
10/4/2015,Sukkot (Day 7) / Hoshanah Rabah
10/5/2015,Shemini Atzeret / Simchat Torah
12/7/2015,Hanukkah (Day 1)
12/8/2015,Hanukkah (Day 2)
12/9/2015,Hanukkah (Day 3)
12/10/2015,Hanukkah (Day 4)
12/11/2015,Hanukkah (Day 5)
12/12/2015,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/13/2015,Hanukkah (Day 7)
12/14/2015,Hanukkah (Day 8)
12/22/2015,Asarah B'Tevet (Tenth of Tevet)
1/25/2016,Tu Bishvat
1/27/2016,Holocaust Remembrance Day
3/23/2016,Fast of Esther
3/25/2016,Shushan Purim (Jerusalem)
4/22/2016,Passover Eve
4/23/2016,Passover (Day 1)
4/24/2016,Passover (Day 2)
4/25/2016,Passover (Day 3)
4/26/2016,Passover (Day 4)
4/27/2016,Passover (Day 5)
4/28/2016,Passover (Day 6)
4/29/2016,Passover (Day 7)
5/5/2016,Yom HaShoah
5/11/2016,Yom HaZikaron
5/12/2016,Yom HaAtzmaut
5/26/2016,Lag BaOmer
6/5/2016,Jerusalem Day
6/11/2016,Shavuot Eve
6/12/2016,Shavuot
7/21/2016,17th of Tammuz
8/11/2016,Tisha B'Av
10/2/2016,Rosh Hashana Eve
10/3/2016,Rosh Hashana
10/4/2016,Rosh Hashana (Day 2)
10/5/2016,Gedaliah Fast
10/11/2016,Yom Kippur Eve
10/12/2016,Yom Kippur
10/16/2016,Sukkot Eve
10/17/2016,Sukkot (Day 1)
10/18/2016,Sukkot (Day 2)
10/19/2016,Sukkot (Day 3)
10/20/2016,Sukkot (Day 4)
10/21/2016,Sukkot (Day 5)
10/22/2016,Sukkot (Day 6)
10/23/2016,Sukkot (Day 7) / Hoshanah Rabah
10/24/2016,Shemini Atzeret / Simchat Torah
12/25/2016,Hanukkah (Day 1)
12/26/2016,Hanukkah (Day 2)
12/27/2016,Hanukkah (Day 3)
12/28/2016,Hanukkah (Day 4)
12/29/2016,Hanukkah (Day 5)
12/30/2016,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/31/2016,Hanukkah (Day 7)
1/1/2017,Hanukkah (Day 8)
1/8/2017,Asarah B'Tevet (Tenth of Tevet)
1/27/2017,Holocaust Remembrance Day
2/11/2017,Tu Bishvat
3/9/2017,Fast of Esther
3/12/2017,Purim
3/13/2017,Shushan Purim (Jerusalem)
4/10/2017,Passover Eve
4/11/2017,Passover (Day 1)
4/12/2017,Passover (Day 2)
4/13/2017,Passover (Day 3)
4/14/2017,Passover (Day 4)
4/15/2017,Passover (Day 5)
4/16/2017,Passover (Day 6)
4/17/2017,Passover (Day 7)
4/23/2017,Yom HaShoah
5/1/2017,Yom HaZikaron
5/2/2017,Yom HaAtzmaut
5/14/2017,Lag BaOmer
5/24/2017,Jerusalem Day
5/30/2017,Shavuot Eve
5/31/2017,Shavuot
7/11/2017,17th of Tammuz
8/1/2017,Tisha B'Av
9/20/2017,Rosh Hashana Eve
9/21/2017,Rosh Hashana
9/22/2017,Rosh Hashana (Day 2)
9/24/2017,Gedaliah Fast
9/29/2017,Yom Kippur Eve
9/30/2017,Yom Kippur
10/4/2017,Sukkot Eve
10/5/2017,Sukkot (Day 1)
10/6/2017,Sukkot (Day 2)
10/7/2017,Sukkot (Day 3)
10/8/2017,Sukkot (Day 4)
10/9/2017,Sukkot (Day 5)
10/10/2017,Sukkot (Day 6)
10/11/2017,Sukkot (Day 7) / Hoshanah Rabah
10/12/2017,Shemini Atzeret / Simchat Torah
12/13/2017,Hanukkah (Day 1)
12/14/2017,Hanukkah (Day 2)
12/15/2017,Hanukkah (Day 3)
12/16/2017,Hanukkah (Day 4)
12/17/2017,Hanukkah (Day 5)
12/18/2017,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/19/2017,Hanukkah (Day 7)
12/20/2017,Hanukkah (Day 8)
12/28/2017,Asarah B'Tevet (Tenth of Tevet)
1/27/2018,Holocaust Remembrance Day
1/31/2018,Tu Bishvat
2/28/2018,Fast of Esther
3/1/2018,Purim
3/2/2018,Shushan Purim (Jerusalem)
3/30/2018,Passover Eve
3/31/2018,Passover (Day 1)
4/1/2018,Passover (Day 2)
4/2/2018,Passover (Day 3)
4/3/2018,Passover (Day 4)
4/4/2018,Passover (Day 5)
4/5/2018,Passover (Day 6)
4/6/2018,Passover (Day 7)
4/12/2018,Yom HaShoah
4/18/2018,Yom HaZikaron
4/19/2018,Yom HaAtzmaut
5/3/2018,Lag BaOmer
5/13/2018,Jerusalem Day
5/19/2018,Shavuot Eve
5/20/2018,Shavuot
6/28/2018,17th of Tammuz
7/19/2018,Tisha B'Av
9/9/2018,Rosh Hashana Eve
9/10/2018,Rosh Hashana
9/11/2018,Rosh Hashana (Day 2)
9/12/2018,Gedaliah Fast
9/18/2018,Yom Kippur Eve
9/19/2018,Yom Kippur
9/23/2018,Sukkot Eve
9/24/2018,Sukkot (Day 1)
9/25/2018,Sukkot (Day 2)
9/26/2018,Sukkot (Day 3)
9/27/2018,Sukkot (Day 4)
9/28/2018,Sukkot (Day 5)
9/29/2018,Sukkot (Day 6)
9/30/2018,Sukkot (Day 7) / Hoshanah Rabah
10/1/2018,Shemini Atzeret / Simchat Torah
12/3/2018,Hanukkah (Day 1)
12/4/2018,Hanukkah (Day 2)
12/5/2018,Hanukkah (Day 3)
12/6/2018,Hanukkah (Day 4)
12/7/2018,Hanukkah (Day 5)
12/8/2018,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/9/2018,Hanukkah (Day 7)
12/10/2018,Hanukkah (Day 8)
12/18/2018,Asarah B'Tevet (Tenth of Tevet)
1/21/2019,Tu Bishvat
1/27/2019,Holocaust Remembrance Day
3/20/2019,Fast of Esther
3/22/2019,Shushan Purim (Jerusalem)
4/9/2019,Election Day
4/19/2019,Passover Eve
4/20/2019,Passover (Day 1)
4/21/2019,Passover (Day 2)
4/22/2019,Passover (Day 3)
4/23/2019,Passover (Day 4)
4/24/2019,Passover (Day 5)
4/25/2019,Passover (Day 6)
4/26/2019,Passover (Day 7)
5/2/2019,Yom HaShoah
5/8/2019,Yom HaZikaron
5/9/2019,Yom HaAtzmaut
5/23/2019,Lag BaOmer
6/2/2019,Jerusalem Day
6/8/2019,Shavuot Eve
6/9/2019,Shavuot
7/18/2019,17th of Tammuz
8/8/2019,Tisha B'Av
9/17/2019,Election Day
9/29/2019,Rosh Hashana Eve
9/30/2019,Rosh Hashana
10/1/2019,Rosh Hashana (Day 2)
10/2/2019,Gedaliah Fast
10/8/2019,Yom Kippur Eve
10/9/2019,Yom Kippur
10/13/2019,Sukkot Eve
10/14/2019,Sukkot (Day 1)
10/15/2019,Sukkot (Day 2)
10/16/2019,Sukkot (Day 3)
10/17/2019,Sukkot (Day 4)
10/18/2019,Sukkot (Day 5)
10/19/2019,Sukkot (Day 6)
10/20/2019,Sukkot (Day 7) / Hoshanah Rabah
10/21/2019,Shemini Atzeret / Simchat Torah
12/23/2019,Hanukkah (Day 1)
12/24/2019,Hanukkah (Day 2)
12/25/2019,Hanukkah (Day 3)
12/26/2019,Hanukkah (Day 4)
12/27/2019,Hanukkah (Day 5)
12/28/2019,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/29/2019,Hanukkah (Day 7)
12/30/2019,Hanukkah (Day 8)
1/7/2020,Asarah B'Tevet (Tenth of Tevet)
1/27/2020,Holocaust Remembrance Day
2/10/2020,Tu Bishvat
3/2/2020,Election Day
3/2/2020,Election Day
3/9/2020,Fast of Esther
3/10/2020,Purim
3/11/2020,Shushan Purim (Jerusalem)
4/8/2020,Passover Eve
4/9/2020,Passover (Day 1)
4/10/2020,Passover (Day 2)
4/11/2020,Passover (Day 3)
4/12/2020,Passover (Day 4)
4/13/2020,Passover (Day 5)
4/14/2020,Passover (Day 6)
4/15/2020,Passover (Day 7)
4/21/2020,Yom HaShoah
4/28/2020,Yom HaZikaron
4/29/2020,Yom HaAtzmaut
5/12/2020,Lag BaOmer
5/22/2020,Jerusalem Day
5/28/2020,Shavuot Eve
5/29/2020,Shavuot
7/9/2020,17th of Tammuz
7/29/2020,Tisha B'Av Eve
7/30/2020,Tisha B'Av
9/18/2020,Rosh Hashana Eve
9/19/2020,Rosh Hashana
9/20/2020,Rosh Hashana (Day 2)
